Course Code,Name,Leveled?,Has level 3 CP,Has level 2 CP,Has level 1 (Honors),Has level 5 (Enriched),Has level 7 (AP),Keywords (separate by commas)
FA030,Foundations of Theatre,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA040,Theatre for Young Audiences,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA050,Film & 20th Century American Culture,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA070,Survey of Music I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA080,Music Production 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA090,Music Production 2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA130,Exploring Percussion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA160,Marching Band,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA22X,AHS Orchestra (Honors + Unleveled),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA240,Jazz Band,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA250,Chamber Music for Strings,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA260,Show Choir,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA300,Foundation Studio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA320,Drawing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA350,Painting,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA330,Mixed Media,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA310,Graphic Design,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA380,Design Media,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA390,Ways of Seeing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA430,Advanced Drawing & Painting,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA431,Portfolio I,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
FA441,Portfolio II,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
FA601,Independent Study in Art Portfolio,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
FA340,Ceramics/3D Design,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA410,Advanced Ceramics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA360,Photography I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA370,Digital Photo/Imaging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA420,Advanced Photography,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA451,Portfolio Photography,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
HE110,Health For the Mind and Body I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
HE220,Health For the Mind and Body II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
HE330,Senior Health Seminars,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
HE440,Yoga for the Mind and Body,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE110,Project Challenge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE310,Personal Fitness & Wellness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE320,Activity Fitness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE400,Personal Fitness & Wellness II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE410,Competitive Team Activities,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE420,Team/Group Activities,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE440,Lifelong Activities,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
PE450,Adventure Leadership,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS040,Peer Mentor Health Connections,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS050,Peer Mentor Science Connections,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS060,Peer Mentor Excel/ABA Programs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS070,PE Buddy Program,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS080,Peer Mentor Life Skills,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS090,AVID Tutor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
CS100,Science Lab Assistant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
AVID1,AVID Year 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
AVID2,AVID Year 2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
AVID3,AVID Year 3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
AVID4,AVID Year 4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
